傲然	aorj
思乡情切	sxqq
三心两意	sxly
思想境界	sxjj
四五月份	swyf
思维模式	swmu
酸文假醋	swjc
四五个月	swgy
四肢发达	svfd
扫榻以待	styd
缩头乌龟	stwg
酸甜可口	stkk
三堂会审	sthu
三四月份	ssyf
斯斯文文	ssww
所思所想	sssx
三四个月	ssgy
随俗浮沉	ssfi
俗气得很	sqdh
随你的便	sndb
三年不鸣	snbm
四面开花	smkh
森罗万象	slmx
四季分明	sjfm
四处奔走	sibz
三好学生	shxu
岁寒三友	shsy
丧魂落魄	shlp
死灰槁木	shgm
三分天下	sftx
四方八面	sfbm
酸儿辣女	seln
随便你了	sbnl
酸不拉几	sblj
思不出位	sbiw
食物中毒	swvd
食不知味	sbvw
天姿国色	tzgs
徒增烦恼	tzfn
退一万步	tymb
统一战线	tyvx
田园牧歌	tymg
同业公会	tygh
袒胸露背	txlb
天文数字	twuz
天王老子	twlz
退无可退	tmkt
统治阶级	tvjj
太上老君	tulj
天时地利	tudl
滔天罪行	ttzh
天塌下来	ttxl
推推搡搡	ttss
头头脑脑	ttnn
滔天怒火	ttnh
滔滔江水	ttju
天塌地陷	ttdx
田头地里	ttdl
贪图安逸	ttay
吐丝自缚	tszf
讨人喜欢	trxh
坦然面对	trmd
台前幕后	tqmh
头皮发麻	tpfm
鸵鸟政策	tdvc
天南海北	tnhb
吐露心声	tlxu
拖了后腿	tlht
涕泪横流	tlhl
退居二线	tjex
田间地头	tjdt
坦诚相见	tixj
退出江湖	tijh
天差地别	tcdb
铁汉柔情	thrq
天高云淡	tgyd
铁骨铮铮	tgvv
唐古拉山	tglu
拖儿带女	tedn
天地玄黄	tdxh
天材地宝	tcdb
抬不起头	tbqt
透不过气	tbgq
手足相残	uzxc
实在是高	uzug
实用主义	uyvy
谁与争锋	uyvf
授业解惑	uyjh
少言寡语	uygy
上行下达	uhxd
收效甚微	uxuw
身心俱疲	uxjp
生无可恋	umkl
识文断字	uwdz
上知天文	uvtw
肾上腺素	uuxs
声声入耳	uure
神神秘秘	uubb
上吐下泻	utxx
上天入地	utrd
舍死忘生	uswu
水软山温	uruw
生日快乐	urkl
霜染白发	urbf
水平如镜	uprj
商品流通	uplt
审美疲劳	umpl
水漫金山	umju
睡眠不足	umbz
生理卫生	ulwu
水利枢纽	ulun
水利工程	ulgi
失节事大	ujud
身居高位	ujgw
手脚并用	ujby
数见不鲜	ujbx
抒怀言志	uhyv
社会制度	uhvd
说话算话	uhsh
售后服务	uhfw
说话带刺	uhdc
上纲上线	ugux
时光荏苒	ugrr
说个没完	ugmw
时乖命蹇	ugmj
伸个懒腰	ugly
说风凉话	uflh
是非黑白	ufhb
势单力薄	udlb
树大根深	udgu
说得过去	udgq
说不明白	ubmb
上兵伐谋	ubfm
上半辈子	ubbz
捉贼捉赃	vzvz
转一圈儿	vyje
状元及第	vyjd
桌椅板凳	vybd
知行合一	vhgy
植物纤维	vwqw
真伪难辨	vwnb
治外法权	vwfq
皱着眉头	vvmt
谆谆教导	vvjd
皱皱巴巴	vvbb
直上云霄	vuyx
真实写照	vuxv
志士仁人	vurr
知识产权	vuiq
逐水而居	vuej
指条明路	vtml
真他妈的	vtmd
震天动地	vtdd
至死不变	vsbb
知人之明	vrvm
终日奔波	vrbb
真情实意	vquy
中秋快乐	vqkl
知情不举	vqbj
捉拿归案	vnga
正面人物	vmrw
专门利人	vmlr
这么简单	vmjd
直眉瞪眼	vmdy
真可谓是	vkwu
斩将搴旗	vjqq
知己难求	vjnq
忠君爱国	vjag
转嗔为喜	viwx
丈二金刚	vejg
赚点外快	vdwk
真刀真枪	vdvq
真的假的	vdjd
捉刀代笔	vddb
招财进宝	vcjb
站不住脚	vbvj
直布罗陀	vblt
睁不开眼	vbky
真不愧是	vbku
择人而噬	vreu
咋不早说	vbzu
妄自揣测	wzic
五洋捉鳖	wyvb
物有所值	wysv
汪洋大海	wydh
温馨甜蜜	wxtm
畏畏缩缩	wwss
文文静静	wwjj
玩着玩着	wvwv
物质文明	wvwm
误中副车	wvfi
为山九仞	wujr
文山会海	wuhh
勿谈国事	wtgu
我所欲也	wsyy
王孙公子	wsgz
往日无怨	wrmy
为人正直	wrvv
温润如玉	wrry
温柔敦厚	wrdh
剜肉补疮	wrbi
巍然不动	wrbd
雾气腾腾	wqtt
乌漆墨黑	wqmh
威迫利诱	wply
问牛答马	wndm
五六月份	wlyf
五六个月	wlgy
武林高手	wlgu
温良恭俭	wlgj
危机重重	wjii
外交关系	wjgj
五角大楼	wjdl
外交辞令	wjcl
物超所值	wisv
外弛内张	winv
我还以为	whyw
维和部队	whbd
亡国之音	wgvy
闻风而起	wfeq
五短身材	wduc
五彩纷呈	wcfi
仙姿玉貌	xzym
稀有元素	xyys
献言献策	xyxc
鲜衣怒马	xynm
稀有金属	xyju
虚应故事	xygu
硝烟滚滚	xygg
兄友弟恭	xydg
学艺不精	xybj
心胸狭隘	xxxa
相形失色	xxus
形象思维	xxsw
小小年纪	xxnj
想想办法	xxbf
心外无物	xwmw
心中有鬼	xvyg
修正主义	xvvy
下知地理	xvdl
新生事物	xuuw
小试牛刀	xund
信守承诺	xuin
心事重重	xuii
相谈甚欢	xtuh
乡土气息	xtqx
心素如简	xsrj
血肉之躯	xrvq
小人之见	xrvj
笑容满面	xrmm
血肉模糊	xrmh
虚弱不堪	xrbk
徇情枉法	xqwf
香气扑鼻	xqpb
修桥补路	xqbl
香飘十里	xpel
雪里送炭	xlst
向来如此	xlrc
心灵鸡汤	xljt
绚丽多姿	xldz
休克疗法	xklf
心肌梗塞	xjgs
相差无几	xcmj
心潮起伏	xiqf
新婚快乐	xhkl
血光之灾	xgvz
先公后私	xghs
心肝宝贝	xgbb
秀而不实	xebu
心地善良	xdul
相对湿度	xdud
喜得贵子	xdgz
心存善念	xcun
心存敬畏	xcjw
想不明白	xbmb
小本经营	xbjy
下笔成章	xbiv
下半辈子	xbbz
越走越远	yzyy
有嘴无心	yzmx
有孕在身	yyzu
有缘无分	yymf
悠悠岁月	yysy
阴雨绵绵	yymm
烟雨蒙蒙	yymm
鱼跃龙门	yylm
阴雨连绵	yylm
庸庸碌碌	yyll
狺狺狂吠	yykf
一一过问	yygw
营养不良	yybl
一言不合	yybg
游戏人间	yxrj
野性难驯	yxnx
英雄豪杰	yxhj
忧喜参半	yxcb
一误再误	ywzw
余味无穷	ywmq
与我无关	ywmg
一无所能	ymsn
义务教育	ywjy
以壮行色	yvhs
言志抒怀	yvuh
有章可循	yvkx
宇宙洪荒	yvhh
一展风采	yvfc
义正辞严	yvcy
一时无两	yuml
养生之道	yuvd
以示清白	yuqb
有失偏颇	yupp
一声令下	yulx
一尸两命	yulm
一身冷汗	yulh
一手交钱	yujq
一手交货	yujh
依山傍水	yubu
一团漆黑	ytqh
一天两天	ytlt
一探究竟	ytjj
仰天长啸	ytix
仰天大笑	ytdx
一通百通	ytbt
意思一下	ysyx
一死了之	yslv
有所不知	ysbv
一死百了	ysbl
嫣然一笑	yryx
与人无争	yrmv
有如神助	yruv
引人深思	yrus
与日俱增	yrjz
有求于你	yqyn
有气没力	yqml
欲求不满	yqbm
有凭有据	ypyj
一片汪洋	ypwy
一片生机	ypuj
一片坦途	yptt
一票难求	ypnq
有屁快放	ypkf
一片焦土	ypjt
有屁就放	ypjf
一屁股债	ypgv
一片光明	ypgm
以你为荣	ynwr
英明一世	ymyu
一脉相通	ymxt
一面之缘	ymvy
仰慕之情	ymvq
榆木脑袋	ymnd
一抹亮色	ymls
夜幕降临	ymjl
有来有往	ylyw
有零有整	ylyv
一冷一热	ylyr
越来越难	ylyn
娱乐娱乐	ylyl
又累又困	ylyk
越来越差	ylyc
又冷又饿	ylye
雨露均沾	yljv
一两个月	ylgy
一鳞半爪	ylbv
云开日出	ykri
一刻千金	ykqj
有口难分	yknf
有口难辩	yknb
又惊又喜	yjyx
英俊潇洒	yjxs
有教无类	yjml
永结同心	yjtx
一己私利	yjsl
一将难求	yjnq
言出法随	yifs
一触而发	yief
月黑杀人	yhur
一会就好	yhjh
羽化成仙	yhix
一哄而起	yheq
油光锃亮	ygzl
因果循环	ygxh
阳刚之气	ygvq
掩过饰非	yguf
一个来回	yglh
一个礼拜	yglb
阳光灿烂	ygcl
有负所托	yfst
一番口舌	yfku
一二月份	yeyf
移动硬盘	ydyp
一代天骄	ydtj
元旦快乐	ydkl
言辞凿凿	yczz
一败再败	ybzb
以暴制暴	ybvb
一把年纪	ybnj
有备而来	ybel
因爱生恨	yauh
仄仄平平	zzpp
早有预谋	zyym
自由竞争	zyjv
尊严尽丧	zyjs
自由放任	zyfr
作用不大	zybd
自寻短见	zxdj
左问右问	zwyw
自我牺牲	zwxu
自我表现	zwbx
资深望重	zuwi
再衰三竭	zcsj
在天有灵	ztyl
自然灾害	zrzh
自然规律	zrgl
在情在理	zqzl
早去早回	zqzh
走马看花	zmkh
走漏风声	zlfu
再苦再累	zkzl
坐困愁城	zkii
早就有了	zjyl
早就醒了	zjxl
早就没了	zjml
纵酒欢歌	zjhg
祖传配方	zipf
脏活累活	zhlh
锃光瓦亮	zgwl
自动调频	zddp
最大努力	zdnl
最大可能	zdkn
杂草丛生	zccu
做不了主	zblv
坐不改姓	zbgx
走不动了	zbdl
按下葫芦起来瓢	axhp
按常理来说	ailu
百足之虫，死而不僵	bzvj
不在其位，不谋其政	bzqv
别有一番风味	byyw
八仙过海，各显神通	bxgt
八仙过海，各显其能	bxgn
不幸而言中	bxe
不是鱼死，就是网破	buyp
不是吃素的	buid
半桶水，响叮当	btud
不听老人言	btly
不听老人言，吃亏在眼前	btlq
比死人多口气	bsrq
不如意事常八九	bryj
不如授人以渔	bruy
被人卖了还帮着数钱	brmq
不求闻达于诸侯	bqwh
病去如抽丝	bqrs
不怕一万，就怕万一	bpyy
半瓶水响叮当	bpud
不怕没柴烧	bpmu
不怕不识货	bpbh
兵马未动，粮草先行	bmwh
别来这一套	blvt
不虑胜先虑败	blub
不见真佛不烧香	bjvx
不吃羊肉惹身臊	biys
冰火两重天	bhlt
不够塞牙缝	bgsf
拔根汗毛比腰粗	bghc
不放在眼里	bfzl
不得不低头	bdbt
病从口入，祸从口出	bcki
不把自己当外人	bbzr
不按常理出牌	baip
藏之名山，传之其人	cvmr
此时无声胜有声	cumu
此风不可长	cfbi
从刀尖上爬过来的	cdjd
弟子服其劳	dzfl
东一榔头西一棒子	dylz
东向而望，不见西墙	dxeq
大战三百回合	dvsg
打着灯笼找不着	dvdv
大事化小，小事化了	duhl
对事不对人	dubr
爹死娘嫁人，各人顾各人	dsnr
单丝不成线	dsbx
端人家碗，受人家管	drjg
大人不记小人过	drbg
得便宜卖乖	dbyg
大难不死，必有后福	dnbf
当面是人，背后是鬼	dmug
当面鼓对面锣	dmgl
大路朝天，各走一边	dlib
渡尽劫波兄弟在	djjz
打狗还得看主人	dghr
豆腐渣工程	dfvi
躲得了初一躲不过十五	ddlw
貂不足，狗尾续	dbzx
大白于天下	dbyx
打不着狐狸惹身骚	dbvs
大白天说梦话	dbth
二者必居其一	evby
二者不可得兼	evbj
耳听为虚，眼见为实	etwu
饿死胆小的	esdd
儿女情长，英雄气短	enqd
儿大不由娘	edbn
儿不嫌母丑，狗不嫌家贫	ebxp
十里不同俗	elbs
腹有诗书气自华	fyuh
蜉蝣撼大树	fyhu
反误了卿卿性命	fwlm
凡人不可貌相	frbx
飞鸟尽良弓藏	fdjc
防民之口，甚于防川	fmvi
风里来，雨里去	fllq
翻脸不认人	flbr
防君子不防小人	fjzr
风高放火天	fgft
狗嘴吐不出象牙	gzty
工欲善其事，必先利其器	gyuq
过一天算一天	gytt
苟全性命于乱世	gqxu
革命尚未成功，同志仍需努力	gmul
革命尚未成功	gmug
过了这个村就没这个店了	glvl
刚出狼窝，又入虎口	gilk
关公面前耍大刀	ggmd
苟富贵，勿相忘	gfgw
公道自在人心	gdzx
各打五十大板	gdwb
胳膊肘往外拐	gbvg
汉贼不两立	hzbl
好戏在后头	hxzt
黄鼠狼给鸡拜年	huln
皇天不负有心人	htbr
好死不如赖活	hsbh
害人之心不可有，防人之心不可无	hrvm
活人不能让尿憋死	hrbs
行家一出手，就知有没有	hjyy
好好学习，天天向上	hhxu
黄河之水天上来	hhvl
花花轿子人抬人	hhjr
黄花菜都凉了	hhcl
好汉不提当年勇	hhby
好话不说二遍	hhbb
好钢用在刀刃上	hgyu
皇帝轮流坐，明年到我家	hdlj
话不说不明	hbum
祸不及家人	hbjr
恨不得有条地缝钻进去	hbdq
行高于人，众必非之	hgyv
行不更名，坐不改姓	hbgx
行不得也哥哥	hbdg
成则为王，败则为寇	izwk
初一一回十五一回	iyyh
穿一条裤子	iytz
丑媳妇总得见公婆	ixfp
朝中有人好做官	ivyg
吃着碗里，望着锅里	ivwl
吃着碗里的，望着锅里的	ivwd
成事不足，败事有余	iuby
秤砣虽小压千斤	itsj
撑死胆大的	isdd
吃人家饭，受人家管	irjg
吃人家的嘴短	irjd
吃人不吐骨头	irbt
传男不传女	inbn
吹牛不打草稿	inbg
城门失火，殃及池鱼	imuy
窗户纸一点就破	ihvp
丑话说在前头	ihut
吹得天花乱坠	idtv
船到桥头自然直	idqv
春蚕到死丝方尽	icdj
盛名之下无虚士	imvu
长他人志气	itrq
长他人志气，灭自己威风	itrf
君子一言，驷马难追	jzyd
君子远庖厨	jzyi
君子之交淡如水	jzvu
君子动口不动手	jzdu
经一事，长一智	jyuv
将欲取之，必先予之	jyqv
酒香不怕巷子深	jxbu
近朱者赤，近墨者黑	jvvh
绝知此事要躬行	jvch
狡兔死走狗烹	jtsp
见人说人话	jruh
见人矮三分	jraf
就怕货比货	jphh
嫁鸡随鸡，嫁狗随狗	jjsg
急急如律令	jjrl
姜还是老的辣	jhul
酒后吐真言	jhty
饥寒起盗心	jhqx
计划没有变化快	jhmk
计划赶不上变化	jhgh
京杭大运河	jhdh
家花不如野花香	jhbx
计划不如变化快	jhbk
见鬼说鬼话	jguh
机关算尽太聪明	jgsm
巾帼不让须眉	jgbm
疾风扫落叶	jfsx
剪刀石头布	jddb
鸡蛋碰石头	jdpt
既当爹又当妈	jddm
旧的不去，新的不来	jdbl
酒不醉人人自醉	jbzz
久病无孝子	jbmz
强中自有强中手	jvzu
可与人言无二三	kyrs
开弓不放箭	kgbj
林子大了，什么鸟都有	lzdy
里约热内卢	lyrl
两眼泪汪汪	lylw
老乡见老乡	lxjx
来者不善，善者不来	lvbl
两头不是人	ltbr
两头不讨好	ltbh
临死拉个垫背的	lsld
狸猫换太子	lmhz
老来这一套	llvt
老将出马，一个顶俩	ljil
蜡炬成灰泪始干	ljig
谅解备忘录	ljbl
脸朝黄土背朝天	liht
老虎屁股摸不得	lhpd
两个黄鹂鸣翠柳	lghl
老而不死是为贼	lebz
两耳不闻窗外事	lebu
来得容易去得快	ldrk
劣币驱逐良币	lbqb
萝卜青菜，各有所爱	lbqa
满嘴跑火车	mzpi
灭自己威风	mzjf
木秀于林，风必摧之	mxyv
摸着石头过河	mvdh
明知不可为而为之	mvbv
谋事在人，成事在天	muzt
闷声发大财	mufc
麻雀虽小，五脏俱全	mqsq
马六甲海峡	mljx
没反应过来	mfyl
面不改色心不跳	mbgt
摸不到头绪	mbdx
门不当户不对	mbdd
万事不求人	mubr
无理搅三分	mljf
无利不起早	mlbz
宁做鸡头不做凤尾	nzjw
捏着一把汗	nvyh
拿人家的手软	nrjr
捏了一把汗	nlyh
拿了鸡毛当令箭	nljj
拿不定主意	nbdy
披着羊皮的狼	pvyl
皮之不存，毛将焉附	pvbf
泼出去的水	piqu
牵着鼻子走	qvbz
前人栽树，后人乘凉	qrzl
墙里开花墙外香	qlkx
曲里拐弯儿	qlge
千里不同风	qlbf
千金之子，坐不垂堂	qjvt
缺胳膊少腿	qgbt
棋逢对手，将遇良才	qfdc
人在屋檐下	rzwx
人在屋檐下，不得不低头	rzwt
日有所思，夜有所梦	rysm
仁义礼智信	rylx
人心齐泰山移	rxqy
人往高处走，水往低处流	rwgl
人为刀俎，我为鱼肉	rwdr
人之将死，其言也善	rvju
人是铁饭是钢	rutg
人生不如意事十之八九	rubj
人死如灯灭	rsrm
人人为我，我为人人	rrwr
人若犯我，我必犯人	rrfr
任凭风浪起	rpfq
热锅里的蚂蚁	rgly
人过留名，雁过留声	rglu
人多好干活	rdhh
人不为己，天诛地灭	rbwm
人不人鬼不鬼	rbrg
人不犯我，我不犯人	rbfr
三月不知肉味	sybw
塞翁失马，安知非福	swuf
三十年河西	senx
三十年河东	send
三天三夜说不完	stsw
酸甜苦辣咸	stkx
三岁小孩都知道	ssxd
损人不利己	srbj
僧来看佛面	slkm
三更灯火五更鸡	sgdj
三步一岗，五步一哨	sbyu
算不了什么	sblm
食君之禄，忠君之事	sjvu
天作孽犹可恕	tznu
太阳从西边出来	tycl
天王老子都不怕	twlp
同志仍需努力	tvrl
头上三尺有神明	tusm
天上不会掉馅饼	tubb
剃头挑子一头热	tttr
桃李不言，下自成蹊	tlbq
螳螂捕蝉，黄雀在后	tlbh
跳进黄河洗不清	tjhq
替古人担忧	tgry
天打五雷轰	tdwh
偷得浮生半日闲	tdfx
胜造七级浮屠	uzqt
是药三分毒	uysd
上知天文，下知地理	uvtl
是骡子是马，拉出来溜溜	ulzl
水里来火里去	ullq
师傅领进门，修行靠个人	uflr
师傅领进门	uflm
伤敌一千，自损八百	udyb
蜀道难，难于上青天	udnt
只许州官放火，不许百姓点灯	vxvd
站着说话不嫌腰疼	vvut
纸上得来终觉浅	vudq
真人不露相	vrbx
中看不中用	vkby
照方子抓药	vfzy
直布罗陀海峡	vblx
玩于股掌之上	wygu
望山跑死马	wupm
玩弄于鼓掌之中	wlyv
外来和尚好念经	wlhj
温良恭俭让	wlgr
挽狂澜于既倒	wkld
侠以武犯禁	xywj
先小人后君子	xxrz
小心没大错	xxmc
修行靠个人	xhkr
闲着也是闲着	xvyv
闲着没事干	xvmg
新账老账一起算	xvls
形势比人强	xubj
效犬马之劳	xqml
喜怒不形于色	xnbs
羡慕嫉妒恨	xmjh
相看两不厌	xkly
鲜花插在牛粪上	xhiu
响鼓不需重锤	xgbi
相当有一套	xdyt
想到哪说到哪	xdnn
秀才造反，三年不成	xczi
秀才遇到兵，有理说不清	xcyq
秀才遇到兵	xcyb
秀才不出门	xcbm
远在天边，近在眼前	yztq
一字长蛇阵	yziv
有一利必有一弊	yylb
有冤报冤，有仇报仇	yybi
一心只读圣贤书	yxvu
英雄难过美人关	yxng
硬着头皮上	yvtu
一朝权在手，便把令来行	yiqh
严师出高徒	yuit
一条路跑到黑	ytlh
一条道跑到黑	ytdh
一人吃饱，全家不饿	yrie
一日不见如隔三秋	yrbq
欲穷千里目，更上一层楼	yqql
一片冰心在玉壶	ypbh
有奶便是娘	ynbn
夜猫子进宅，无事不来	ymzl
有理说不清	yluq
一粒老鼠屎，坏了一锅粥	yllv
一粒老鼠屎	yllu
有理不在声高	ylbg
一块石头落了地	ykdd
一颗老鼠屎，坏了一锅粥	yklv
一颗老鼠屎	yklu
有借有还，再借不难	yjyn
一家人不说两家话	yjrh
月黑杀人夜	yhuy
眼观六路，耳听八方	yglf
一个唱红脸，一个唱白脸	ygil
有福同享，有难同当	yftd
一分价钱一分货	yfjh
一顿饭功夫	ydff
咽不下这口气	ybxq
以彼之道还治其人之身	ybvu
一把屎一把尿	ybun
衣不如新，人不如故	ybrg
犹抱琵琶半遮面	ybpm
一边凉快去	yblq
用不了多久	yblj
一步错，步步错	ybcc
一把鼻涕一把泪	ybbl
自作孽不可活	zznh
早知今日，何必当初	zvji
嘴尖舌头快	zjuk
自古圣贤多寂寞	zgum
