爱咋咋地	azzd
还行	hdxk
好东西	hdxi
黑灯瞎火	hdxh
好大喜功	hdxg
邯郸学步	hdxb
化敌为友	hdwy
还未	hdww
亥	hdwr
画地为牢	hdwl
荒诞无稽	hdwj
海湾	hdwj
海外	hdwd
亥	hdw
海中	hdvs
海战	hdvj
海蜇	hdve
华东师范大学	hdux
海水	hduv
还说	hduo
还是	hdui
海上	hduh
河东狮吼	hduh
还剩	hdug
海参	hduf
海豚	hdty
孩童	hdts
海滩	hdtj
孩提	hdti
海棠	hdth
海涛	hdtc
还算	hdsr
害死	hdsi
害臊	hdsc
害人	hdrf
红灯区	hdqu
氦	hdqr
氦	hdq
害怕	hdpa
海鸥	hdou
胲	hdor
胲	hdo
海内	hdnw
很多年前	hdnq
海鸟	hdnn
好多年	hdnm
海南	hdnj
还能	hdng
还没	hdmw
骇	hdmr
海面	hdmm
海绵	hdmm
海马	hdma
骇	hdm
海轮	hdly
寒冬腊月	hdly
海底捞针	hdlv
海路	hdlu
洪都拉斯	hdls
海螺	hdlo
横刀立马	hdlm
海量	hdll
皇帝轮流坐，明年到我家	hdlj
海里	hdli
海浪	hdlh
害了	hdle
合得来	hdld
活到老	hdlc
好多了	hdl
海口	hdkz
害苦	hdku
咳	hdkr
嗨	hdkm
嗐	hdkk
还看	hdkj
嗨	hdk
海军	hdjy
黄道吉日	hdjr
海角	hdjn
海景	hdjk
害处	hdiu
华灯初上	hdiu
害虫	hdis
海产	hdij
还长	hdih
还差	hdia
忽大忽小	hdhx
还会	hdhv
或多或少	hdhu
患得患失	hdhu
鹤顶红	hdhs
海货	hdho
何德何能	hdhn
海涵	hdhj
好得很	hdhf
很多很多	hdhd
还好	hdhc
划等号	hdh
海龟	hdgv
骸骨	hdgu
海关	hdgr
海港	hdgh
骸	hdg
红得发紫	hdfz
海风	hdfg
海尔	hder
好大的面子	hddz
还得	hddw
黄赌毒	hddu
海	hddm
海胆	hddj
海底	hddi
海带	hddd
海盗	hddc
横刀夺爱	hdda
海	hdd
好多次	hdci
喝倒彩	hdcd
海草	hdcc
虎毒不食子	hdbz
还不	hdbu
海边	hdbm
害病	hdbk
荒诞不经	hdbj
海报	hdbc
海滨	hdbb
海拔	hdba
害	hdb
海岸	hdan
还	hd
好走	hczz
好做	hczo
耗资	hczi
好脏	hczh
好在	hczd
好友	hcyz
好运	hcyy
好于	hcyu
好用	hcys
好远	hcyr
好意	hcyi
豪饮	hcyb
好呀	hcya
豪侠	hcxx
好学	hcxt
好凶	hcxs
好悬	hcxr
好些	hcxp
好笑	hcxn
好险	hcxm
好像	hcxl
好戏	hcxi
好心	hcxb
毫无	hcwu
毫	hcwm
好玩	hcwj
好文	hcwf
鄗	hcwe
号外	hcwd
豪	hcw
好转	hcvr
貉	hcvk
好战	hcvj
豪宅	hcvd
号召	hcvc
貉	hcv
好受	hcuz
好耍	hcux
好书	hcuu
获此殊荣	hcur
好说	hcuo
花草树木	hcum
豪爽	hcul
好事	hcui
毫升	hcug
耗神	hcuf
好少	hcuc
豪绅	hcu
壕	hctu
好痛	hcts
好帖	hctp
好听	hctk
祸从天降	hctj
好疼	hctg
郝	hcte
嚎啕	hctc
郝	hct
耗损	hcsy
好似	hcsi
好色	hcse
好软	hcrr
浩然	hcrj
好让	hcrh
好人	hcrf
好惹	hcre
侴	hcrd
耗去	hcqu
好球	hcqq
好巧	hcqn
好强	hcql
豪情	hcqk
好奇	hcqi
好评	hcpk
好怕	hcpa
昊	hcot
颢	hcor
昊	hco
好	hcnz
好难	hcnj
耗能	hcng
好美	hcmw
毫秒	hcmn
好慢	hcmj
毫米	hcmi
好忙	hcmh
好梦	hcmg
豪门	hcmf
豪迈	hcmd
毫毛	hcmc
号码	hcma
好吗	hcm
好累	hclw
花丛老手	hclu
好乱	hclr
好脸	hclm
号令	hclk
毫厘	hcli
好冷	hclg
好了	hcle
好啦	hcla
耗	hcl
好困	hcky
号	hckv
嚎	hcku
好快	hckk
好看	hckj
祸从口出	hcki
好客	hcke
号	hck
好假	hcjx
好久	hcjq
浩劫	hcjp
号角	hcjn
镐	hcjk
好记	hcji
耗尽	hcjb
镐	hcj
好丑	hciz
好处	hciu
蚝	hcim
好吃	hcii
好长	hcih
号称	hcig
蚝	hci
豪华	hchx
好黑	hchw
好货	hcho
好坏	hchk
好汉	hchj
好喝	hche
好好	hchc
浩瀚	hch
壕沟	hcgz
好贵	hcgv
好官	hcgr
好过	hcgo
好乖	hcgk
好感	hcgj
好高	hcgc
耗费	hcfw
好烦	hcfj
豪放	hcfh
毫发	hcfa
好恶	hcee
好斗	hcdz
好赌	hcdu
淏	hcdt
好动	hcds
灏	hcdr
好多	hcdo
耗电	hcdm
好点	hcdm
浩	hcdk
浩荡	hcdh
好歹	hcdd
好大	hcda
濠	hcd
浩	hcd
蒿	hcck
好惨	hccj
耗材	hccd
薅	hccc
蒿	hcc
怀才不遇	hcby
毫不	hcbu
皓	hcbk
好办	hcbj
好比	hcbi
好棒	hcbh
好报	hcbc
厚此薄彼	hcbb
好吧	hcba
皓	hcb
毫安	hcan
好啊	hcaa
好	hc
慌不择路	hbzl
毫不犹豫	hbyy
互不影响	hbyx
含苞欲放	hbyf
后半夜	hbye
虎背熊腰	hbxy
花边新闻	hbxw
红白喜事	hbxu
恨不相逢未嫁时	hbxu
毫不逊色	hbxs
互不相容	hbxr
活不下去	hbxq
很不幸	hbxk
毫不相干	hbxg
还不行	hbx
悍不畏死	hbws
花不完	hbwj
缓兵之计	hbvj
还不止	hbvi
还不知道	hbvd
魂不守舍	hbuu
毫不示弱	hbur
话不说不明	hbum
还不是	hbui
湖北省	hbug
河北省	hbug
虎不食儿	hbue
还不少	hbuc
好半天	hbtm
化悲痛为力量	hbtl
话不投机	hbtj
话不投机半句多	hbtd
货比三家	hbsj
好不容易	hbry
还不如说	hbru
还不如	hbr
怀璧其罪	hbqz
回不去	hbqu
很抱歉	hbqm
还不能	hbng
胡编乱造	hblz
回报率	hblv
活蹦乱跳	hblt
黑不溜秋	hblq
毫不留情	hblq
花不了	hbln
毫不利己	hblj
回不来	hbld
毫不夸张	hbkv
很不客气	hbkq
还不快	hbkk
毫不介意	hbjy
环保局	hbju
祸不及家人	hbjr
画饼充饥	hbij
毫不讳言	hbhy
会不会	hbhv
会不会是	hbhu
好不好	hbhc
还不够	hbgz
互不干扰	hbgr
还本付息	hbfx
魂不附体	hbft
黑白分明	hbfm
好办法	hbfa
祸不单行	hbdx
话不多说	hbdu
恨不得有条地缝钻进去	hbdq
荷包蛋	hbdj
悔不当初	hbdi
含苞待放	hbdf
恨不得	hbde
黑白颠倒	hbdd
还不到	hbdc
货不对板	hbdb
还不错	hbco
后半辈子	hbbz
后半部分	hbbf
汉堡包	hbbc
何必	hb
哈欠	haqm
蛤蟆	hama
哈喽	halz
哈罗	halo
和蔼可亲	hakq
哈	hakk
哈	hak
铪	hajk
铪	haj
蛤	haik
蛤	hai
哈哈	haha
哈佛	hafo
哈达	hada
哈	ha
和	h
抽走	izzz
臭嘴	izzv
臭	izzq
筹资	izzi
踌	izzc
臭	izz
酬	izyv
沉醉于	izyu
仇怨	izyr
抽烟	izyj
抽样	izyh
姹紫嫣红	izyh
酬	izy
愁绪	izxu
抽血	izxt
酬谢	izxp
抽象	izxl
创造性	izxk
惆	izx
臭味	izww
成则为王，败则为寇	izwk
丑闻	izwf
瞅准	izvy
赤子之心	izvx
抽中	izvs
筹	izvc
丑	izva
丑	izv
抽水	izuv
仇视	izui
抽身	izuf
仇杀	izua
抽屉	izti
丑态	iztd
畤	iztc
畴	izt
绸	izsk
绸	izs
愁容	izrs
犨	izrn
仇	izrj
仇人	izrf
俦	izrc
仇	izr
抽取	izqu
抽签	izqm
臭气	izqi
臭屁	izpi
筹拍	izpd
瞅	izoh
瞅	izo
婤	iznk
婤	izn
臭美	izmw
筹募	izmu
臭名	izmk
稠密	izmi
愁闷	izmf
梼	izmc
筹码	izma
杻	izm
丑陋	izlz
创造力	izli
酬劳	izlc
愁苦	izku
抽空	izks
筹款	izkr
仇家	izjx
丑角	izjt
筹借	izjp
筹建	izjm
抽奖	izjl
筹集	izji
传宗接代	izjd
帱	izjc
抽筋	izjb
帱	izj
瞅瞅	iziz
抽搐	iziu
臭虫	izis
惆怅	izih
出租车	izie
抽查	izia
踌躇	izi
常在河边走	izhz
筹划	izhx
抽回	izhv
稠	izhk
臭汗	izhj
仇恨	izhf
愁	izh
抽	izfy
穿凿附会	izfh
抽风	izfg
丑恶	izee
迟早的事	izdu
抽动	izds
绸缎	izdr
抽调	izdn
车载斗量	izdl
仇敌	izdi
抽打	izda
筹措	izco
筹备	izbw
瘳	izbp
筹办	izbj
酬宾	izbb
瘳	izb
抽	iz
常用字	iyzi
春游	iyyz
春运	iyyy
春雨	iyyu
抽油烟机	iyyj
春意	iyyi
初一一回十五一回	iyyh
春药	iyyc
醇	iyy
春夏	iyxx
春晓	iyxn
醇香	iyxl
成也萧何，败也萧何	iyxh
春心	iyxb
查一下	iyx
出言无状	iywv
瑃	iywo
鹑	iywn
彻夜未眠	iywm
春晚	iywj
鹑	iyw
蠢猪	iyvu
纯种	iyvs
春装	iyvl
纯正	iyvg
纯真	iyvf
纯水	iyuv
纯属	iyuu
蠢事	iyui
唇舌	iyue
穿一条裤子	iytz
春天	iytm
春笋	iysy
超音速	iysu
纯	iyst
尺有所短，寸有所长	iysi
春色	iyse
尺有所短	iysd
春雨如油	iyry
蠢人	iyrf
吃一堑，长一智	iyqv
春秋	iyqq
纯情	iyqk
穿云破雾	iypw
淳朴	iypu
肫	iyot
朐	iyok
朐	iyo
出淤泥而不染	iynr
彻夜难眠	iynm
崇洋媚外	iymw
椿	iymo
纯棉	iymm
春梦	iymg
纯毛	iymc
沉冤莫白	iymb
椿	iym
沉鱼落雁	iyly
春雷	iylw
蠢驴	iylv
春意阑珊	iylu
春联	iylm
纯利	iyli
扯远了	iyle
差远了	iyl
春卷	iyjr
纯洁	iyjp
纯碱	iyjm
纯净	iyjk
春季	iyji
茶余酒后	iyjh
纯金	iyjb
春节	iyj
彻夜长谈	iyit
蝽	iyio
唇	iyik
唇齿	iyii
尝一尝	iyih
春潮	iyic
唇	iyi
醇厚	iyhz
春花	iyhx
春晖	iyhv
蠢货	iyho
春寒	iyhj
春宫	iygs
察言观色	iygs
产业革命	iygm
春光	iygl
春耕	iygg
唇膏	iygc
春	iyfo
蠢	iyfi
茶余饭后	iyfh
春风	iyfg
春分	iyff
春	iyf
淳	iydz
纯度	iydu
差一点	iydm
蠢蛋	iydj
穿衣打扮	iydb
淳	iyd
愁云惨雾	iycw
纯粹	iycv
莼	iyct
春蚕	iycj
蠢才	iycd
莼	iyc
出言不逊	iybx
吃哑巴亏	iybk
迟疑不决	iybj
蠢笨	iybf
纯白	iybd
创业板	iyb
春意盎然	iyar
䲠	iyao
䲠	iya
纯	iy
朝鲜族	ixzu
趁现在	ixzd
程序员	ixyr
春宵一刻	ixyk
垂涎已久	ixyj
垂涎欲滴	ixyd
穿小鞋	ixxp
持续性	ixxk
畅行无阻	ixwz
痴心妄想	ixwx
喘息未定	ixwd
城下之盟	ixvm
喘息之间	ixvj
抽薪止沸	ixvf
初学者	ixve
长袖善舞	ixuw
畅销书	ixuu
超现实	ixui
长相厮守	ixsu
储蓄所	ixso
垂涎三尺	ixsi
称心如意	ixry
承先启后	ixqh
春夏秋冬	ixqd
创新能力	ixnl
吃相难看	ixnk
出现了	ixle
重新开始	ixku
长效机制	ixjv
处心积虑	ixjl
城乡结合部	ixjb
诚心诚意	ixiy
吃现成饭	ixif
程序化	ixhx
船小好调头	ixht
吃香喝辣	ixhl
出现过	ixgo
丑媳妇总得见公婆	ixfp
吃闲饭	ixfj
乘虚而入	ixer
乘兴而来	ixel
捶胸顿足	ixdz
长吁短叹	ixdt
称兄道弟	ixdd
吃香的喝辣的	ixd
出现	ix
成为一个	iwyg
臭味相投	iwxt
储物箱	iwxl
颤巍巍	iwww
查无实据	iwuj
出问题	iwti
吃完了	iwle
成为可能	iwkn
重温旧梦	iwjm
传为佳话	iwjh
储物间	iwj
唇亡齿寒	iwih
称王称霸	iwib
常委会	iwhv
吃完饭	iwfj
查无此人	iwcr
成王败寇	iwbk
成为	iw
吹奏	ivzz
成竹在胸	ivzx
锤子	ivzi
穿针引线	ivyx
吹皱一池春水	ivyu
炊烟	ivyj
出主意	ivyi
持之以恒	ivyh
朝中有人好做官	ivyg
嗤之以鼻	ivyb
垂询	ivxy
垂下	ivxx
吹嘘	ivxu
重装系统	ivxt
吹箫	ivxn
垂涎	ivxm
惙	ivx
垂危	ivww
吃着碗里，望着锅里	ivwl
成者王侯败者寇	ivwk
成者王侯	ivwh
吃着碗里的，望着锅里的	ivwd
称之为	ivw
池中之物	ivvw
垂直	ivvi
吹着	ivve
垂首	ivuz
吹头	ivtz
捶腿	ivtv
处之泰然	ivtr
垂体	ivti
垂死	ivsi
倕	ivri
倕	ivr
传之其人	ivqr
垂青	ivqk
重整旗鼓	ivqg
吹破	ivpo
吹捧	ivpg
垂	ivpa
垂	ivp
吹牛	ivnq
吃斋念佛	ivnf
纯真年代	ivnd
陈芝麻烂谷子	ivmz
垂暮	ivmu
吹灭	ivmp
棰	ivmi
晨钟暮鼓	ivmg
椎	ivmf
槌	ivm
垂泪	ivlw
垂柳	ivlq
锤炼	ivlm
吹了	ivle
吹来	ivld
吹	ivkr
圌	ivke
吹开	ivkd
圌	ivk
炊具	ivju
唱主角	ivjt
锤	ivji
吹进	ivjb
长治久安	ivja
锤	ivj
炊	ivhr
差之毫厘	ivhl
炊	ivh
吹过	ivgo
吹干	ivgj
叱咤风云	ivfy
吹拂	ivfu
捶	ivfi
吹风	ivfg
捶	ivf
陲	ivei
陲	ive
吹动	ivds
垂钓	ivdn
沉重代价	ivdj
吹灯	ivdg
捶打	ivda
捶背	ivbw
成正比	ivbi
垂爱	ivai
吹	iv
出走	iuzz
出租	iuzu
成事在天	iuzt
躇	iuzo
出自	iuzi
处在	iuzd
蹰	iuzc
躇	iuz
出游	iuyz
处于	iuyu
出院	iuyr
出演	iuyj
初一	iuyi
初夜	iuye
出于	iuy
出巡	iuxy
重拾信心	iuxx
初夏	iuxx
春生夏长	iuxv
储蓄	iuxu
初学	iuxt
憷	iuxr
出现	iuxm
雏形	iuxk
出席	iuxi
初心	iuxb
怵	iux
储物	iuwu
畜	iuwt
出师未捷	iuwj
触网	iuwh
初吻	iuwf
除外	iuwd
处	iuwb
畜	iuw
䝙	iuvx
初始状态	iuvt
初中	iuvs
出	iuvk
出战	iuvj
处置	iuvi
处长	iuvh
出征	iuvg
出诊	iuvf
出招	iuvc
初衷	iuv
出售	iuuz
诚实守信	iuux
出水	iuuv
矗	iuuq
出山	iuuj
厨师	iuui
畜生	iuug
出生	iuug
出身	iuuf
础	iuu
出头	iutz
出土	iutu
触痛	iuts
出庭	iutk
初探	iutj
出题	iuti
出台	iutd
出逃	iutc
处所	iuso
初三	iusj
处死	iusi
出色	iuse
初赛	iusd
绌	ius
俶	iury
出入	iuru
出生入死	iurs
储	iuro
出神入化	iurh
出任	iurf
出双入对	iurd
储	iur
承上启下	iuqx
出去	iuqu
除却	iuqt
除权	iuqr
初秋	iuqq
出糗	iuqq
出鞘	iuqn
出钱	iuqm
初期	iuqi
出勤	iuqb
褚	iupo
触屏	iupk
超水平发挥	iuph
触碰	iupg
出牌	iupd
出品	iupb
初	iup
处女	iunv
触怒	iunu
初年	iunm
处男	iunj
初生牛犊不怕虎	iunh
初生牛犊	iund
出纳	iuna
杵	iumw
樗	iumv
触目	iumu
抽水马桶	iumt
楚	iumr
触摸	iumo
出面	iumm
车水马龙	iuml
出名	iumk
出门	iumf
柷	iume
出卖	iumd
橱	iumc
出马	iuma
楚	ium
出路	iulu
赤身裸体	iult
初略	iult
出笼	iuls
出落	iulo
初恋	iulm
储量	iull
处理	iuli
除了	iule
出来	iuld
出口	iukz
触控	iuks
赤手空拳	iukq
诚实可靠	iukk
触手可及	iukj
除开	iukd
出家	iujx
出局	iuju
触觉	iujt
出借	iujp
触角	iujn
长时间	iujm
崇山峻岭	iujl
出境	iujk
常胜将军	iujj
初级	iuji
出尽	iujb
锄	iuj
出丑	iuiz
初春	iuiy
处处	iuiu
除虫	iuis
橱窗	iuil
出产	iuij
出场	iuih
出城	iuig
除尘	iuif
䢺	iuie
成双成对	iuid
出差	iuid
厨	iuic
蜍	iui
厨	iui
初始化	iuhx
出乎	iuhu
出货	iuho
出汗	iuhj
黜	iuhi
除害	iuhd
黜	iuh
出轨	iugv
出国	iugo
触感	iugj
出港	iugh
出格	iuge
初稿	iugc
橱柜	iug
除非	iufw
搐	iuft
出水芙蓉	iufr
摴	iufk
触犯	iufj
厨房	iufh
处分	iuff
出发	iufa
搐	iuf
初二	iuer
抽身而去	iueq
亍	iuel
除	iueh
除	iue
城市大学	iudx
触动	iuds
出动	iuds
濋	iudr
除掉	iudn
触电	iudm
触底	iudi
滁	iudh
初等	iudg
雏	iudf
刍	iude
出道	iudc
触	iud
储存	iucy
出错	iuco
初次	iuci
储藏	iuch
出彩	iucd
除草	iucc
成事不足	iubz
成事不足，败事有余	iuby
储备	iubw
初步	iubu
长生不老	iubl
出兵	iubk
处事不惊	iubj
出版	iubj
出手不凡	iubf
出殡	iubb
亍	iuad
亍	iua
处	iu
长叹一声	ityu
差太远	ityr
串通一气	ityq
差太远了	ityl
畅通无阻	itwz
传统文化	itwh
出头之日	itvr
呈堂证供	itvg
传统社会	ituh
赤条条	ittn
赤条条来去无牵挂	ittg
垂头丧气	itsq
秤砣虽小压千斤	itsj
出头鸟	itnn
传统美德	itmd
出头露面	itlm
吹弹可破	itkp
彻头彻尾	itiw
床头柜	itgv
传统观念	itgn
尘土飞扬	itfy
吹弹得破	itdp
长途跋涉	itbu
长痛不如短痛	itbt
丑态毕露	itbl
丑态百出	itbi
传统	it
冲走	iszz
充足	iszu
虫子	iszi
重组	isz
畅所欲言	isyy
充裕	isyu
重演	isyj
重阳	isyh
虫牙	isya
重下	isxx
忡	isxv
充血	isxt
重修	isxq
重写	isxp
冲销	isxn
重现	isxm
冲向	isxl
宠幸	isxk
冲洗	isxi
重新	isxb
憧	isx
重围	isww
宠物	iswu
重温	iswf
珫	iswe
充	isw
垂死挣扎	isvv
重装	isvl
充值	isvi
重整	isvg
重振	isvf
冲着	isve
虫	isvd
虫	isv
冲刷	isux
充数	isuu
充实	isui
崇尚	isuh
重生	isug
重申	isuf
重设	isue
冲杀	isua
冲突	istu
冲天	istm
埫	istk
重提	isti
重孙	issy
重塑	issu
楚虽三户，亡秦必楚	issi
充塞	isse
冲入	isru
重庆	isqk
重启	isqi
充沛	ispw
冲破	ispo
重	ispa
重	isp
重名	ismk
充满	ismj
重码	isma
虫卵	islr
冲凉	isll
沉思良久	islj
冲力	isli
冲浪	islh
重来	isld
冲垮	iskx
充军	isjy
重聚	isju
重建	isjm
憧憬	isjk
崇敬	isjk
冲击	isji
铳	isje
冲进	isjb
铳	isj
冲出	isiu
重重	isis
充斥	isii
重唱	isih
冲茶	isia
重婚	ishy
重回	ishv
重获	isho
宠坏	ishk
重合	ishe
虫害	ishd
种	ish
重构	isgz
冲过	isgo
崇高	isgc
冲高	isg
重复	isfu
重返	isfj
重逢	isfg
充分	isff
舂	isf
崇	isex
宠儿	iser
崇	ise
涌	isdy
漴	isdx
冲	isdv
冲动	isds
重叠	isdp
冲掉	isdn
充电	isdm
冲淡	isdj
充当	isdh
㳘	isde
撑死胆大的	isdd
重打	isda
差三错四	iscs
冲刺	isci
茺	isce
虫草	iscc
茺	isc
重播	isbo
宠	isbl
抽丝剥茧	isbj
崇拜	isbd
宠	isb
宠爱	isai
冲	is
川藏	irzh
遄	irze
遄	irz
船运	iryy
出人意外	iryw
穿越	iryt
船员	iryr
出人意料	iryl
传言	iryj
穿衣	iryi
传扬	iryh
传谣	iryc
出人意表	iryb
传讯	irxy
穿鞋	irxp
传销	irxn
船舷	irxm
舛	irxl
穿行	irxk
喘息	irxi
仇人相见，分外眼红	irxh
舛	irx
超然物外	irww
船坞	irwu
传闻	irwf
乘人之危	irvw
船主	irvu
穿着	irvo
成人之美	irvm
船	irvk
船只	irvi
船长	irvh
传真	irvf
穿着	irve
船	irv
传授	iruz
传输	iruu
传说	iruo
痴人说梦	irum
传世	irui
穿上	iruh
传神	iruf
串烧	iruc
穿透	irtz
传统	irts
堾	irto
出人头地	irtd
串通	irt
传送	irss
穿梭	irso
传	irrv
怅然若失	irru
传入	irru
传染	irrj
传人	irrf
传热	irre
成仁取义	irqy
传球	irqq
传奇	irqi
氚	irq
穿破	irpo
船票	irpn
川	irpl
川	irp
䏝	iro
传媒	irmw
椽	irmu
串门	irmf
椽	irm
串联	irlm
串	irll
传令	irlk
常任理事国	irlg
传来	irld
串	irl
串口	irkz
圌	irke
传开	irkd
喘	irk
川剧	irju
传教	irjn
船桨	irjl
钏	irji
吃人家饭，受人家管	irjg
吃人家的嘴短	irjd
钏	irj
传出	iriu
串串	irir
串场	irih
传承	irig
传抄	iric
穿插	iria
传话	irhx
传呼	irhu
传唤	irhr
串行	irhh
穿好	irhc
传给	irgw
串供	irgs
穿过	irgo
船夫	irfu
船队	irdv
趁热打铁	irdt
传动	irds
传单	irdj
传递	irdi
穿戴	irdd
传导	irdc
传达	irda
传道	ird
船舱	irch
川菜	ircd
成人不自在	irbz
吃软不吃硬	irby
川贝	irbw
吃人不吐骨头	irbt
船舶	irbo
传播	irbo
传遍	irbm
传染病	irbk
宠辱不惊	irbj
穿帮	irbh
穿	irb
传	ir
长期以来	iqyl
除却巫山不是云	iqwy
出奇制胜	iqvu
长驱直入	iqvr
春秋战国	iqvg
成千上万	iquw
唇枪舌剑	iquj
重庆市	iqui
出气筒	iqts
差强人意	iqry
春去秋来	iqql
承前启后	iqqh
重起炉灶	iqlz
充其量	iqll
出去了	iqle
陈腔滥调	iqld
成群结队	iqjd
臭气冲天	iqit
潮起潮落	iqil
锄强扶弱	iqfr
春秋鼎盛	iqdu
重启电脑	iqdn
出其不意	iqby
惩前毖后	iqbh
春秋笔法	iqbf
乘其不备	iqbb
重启	iq
长篇小说	ipxu
长篇累牍	ipld
IP地址	ipdv
长篇大论	ipdl
产品	ip
逴	iozu
踔	ioz
惙	ioxy
辍学	ioxt
戳	ioxg
惙	iox
龊	iovr
龊	iov
绰	iosu
绰	ios
戳入	ioru
啜泣	ioqi
戳破	iopo
啜	ioky
啜	iok
戳记	ioji
辍	ioiy
戳穿	ioir
辍	ioi
绰号	iohc
淖	iodu
淖	iod
辍笔	iobi
戳	io
常年在外	inzw
处女座	inzo
处女作	inz
痴男怨女	inyn
刹那之间	invj
成年人	inrf
吹牛皮	inpi
长年累月	inly
陈年老酒	inlj
超能力	inli
吃腻了	inle
陈年旧账	injv
陈年旧事	inju
春暖花开	inhk
吃奶的劲	indj
传男不传女	inbn
吹牛不打草稿	inbg
承诺	in
出门在外	imzw
臭名远扬	imyy
柴米油盐	imyy
沉迷于	imyu
柴米油盐酱醋茶	imyi
出谋献策	imxc
魑魅魍魉	imwl
出没无常	imwi
春梦无痕	imwh
驰名中外	imvw
臭名昭著	imvv
迟暮之年	imvn
充满着	imve
城门失火，殃及池鱼	imuy
沉默是金	imuj
触摸式	imui
城门失火	imuh
臣门如市	imru
吹毛求疵	imqc
触摸屏	impk
重命名	immk
愁眉泪眼	imly
程门立雪	imlx
车马劳顿	imld
愁眉苦脸	imkl
触目惊心	imjx
瞠目结舌	imju
沉湎酒色	imjs
窗明几净	imjj
出谋划策	imhc
沉默寡言	imgy
缠绵悱恻	imfc
崇明岛	imdc
沉默不语	imby
愁眉不展	imbv
长命百岁	imbs
出毛病了	imbl
沉默	im
创作	ilzo
窗子	ilzi
创造	ilzc
创优	ilyz
床沿	ilyj
创意	ilyi
创业	ilye
创下	ilxx
怆	ilxv
创新	ilxb
怆	ilx
床位	ilww
窗外	ilwd
车轮战	ilvj
创制	ilvi
初来乍到	ilvd
床罩	ilvc
创收	iluz
创始	ilui
创伤	iluh
创设	ilue
床上	ilu
床头	iltz
垂帘听政	iltv
创痛	ilts
吹拉弹唱	ilti
窗台	iltd
床榻	ilta
闯入	ilru
怆然	ilrj
创	ilrd
创	ilr
吃了枪子	ilqz
窗前	ilqm
春兰秋菊	ilqj
处理器	ilqi
吃里扒外	ilpw
床铺	ilpu
触类旁通	ilpt
处理品	ilpb
创面	ilmm
橦	ilml
出了名的	ilmd
闯	ilm
赤裸裸	illo
窗帘	illm
窗棂	illk
创立	illi
窗口	ilkz
乘龙快婿	ilkx
噇	ilkl
创刊	ilkj
噇	ilk
创举	ilju
床脚	iljn
创建	iljm
幢	iljl
闯进	iljb
幢	ilj
尝了尝	ilih
查了查	ilia
创汇	ilhv
窗户	ilhu
闯祸	ilho
豺狼虎豹	ilhb
闯关	ilgr
闯过	ilgo
床	ilgm
床	ilg
差旅费	ilfw
出离愤怒	ilfn
初露锋芒	ilfm
重峦叠嶂	ildv
床垫	ildm
吃了大亏	ildk
床单	ildj
闯荡	ildh
豺狼当道	ildd
川流不息	ilbx
窗	ilbw
疮	ilbv
吃粮不管事	ilbu
查漏补缺	ilbq
床边	ilbm
创办	ilbj
吃力不讨好	ilbh
吃了豹子胆	ilbd
出类拔萃	ilbc
疮疤	ilba
疮	ilb
窗	il
吃亏在眼前	ikzq
踹	ikze
踹	ikz
敞开心扉	ikxf
出口伤人	ikur
创可贴	iktp
喘口气	ikqi
吃苦耐劳	iknl
揣摩	ikmo
啜	ikky
啜	ikk
吹糠见米	ikjm
出口成章	ikiv
搋	ikfj
揣	ikfe
搋	ikf
冲口而出	ikei
揣度	ikdo
插科打诨	ikdh
揣测	ikce
触控板	ikbj
揣	ik
馋嘴	ijzv
缠足	ijzu
躔	ijzt
产自	ijzi
辿	ijze
掺杂	ijza
躔	ijz
除旧迎新	ijyx
产于	ijyu
谗言	ijyj
产业	ijye
谗	ijyd
颤音	ijyb
谄	ijy
忏	ijxq
产销	ijxn
忏	ijx
产物	ijwu
颤	ijwr
颤	ijw
长久之计	ijvj
产值	ijvi
禅杖	ijvh
缠着	ijve
持久战	ijv
孱	ijuz
羼	ijuy
掺水	ijuv
阐述	ijuu
触景生情	ijuq
阐释	ijui
产生	ijug
缠身	ijuf
馋	ijud
馋	iju
长镜头	ijtz
蝉蜕	ijtv
创巨痛深	ijtu
重见天日	ijtr
缠	ijsl
成吉思汗	ijsh
缠	ijs
出将入相	ijrx
孱弱	ijro
儳	ijrd
缠绕	ijrc
产区	ijqu
产权	ijqr
产前	ijqm
产期	ijqi
禅	ijpl
铲平	ijpk
产品	ijpb
禅	ijp
旵	ijoe
旵	ijo
婵	ijnl
产能	ijng
婵	ijn
骣	ijmz
谄媚	ijmw
缠绵	ijmm
阐	ijml
阐明	ijmk
馋猫	ijmc
阐	ijm
成家立业	ijly
掣襟露肘	ijlv
长颈鹿	ijlu
产卵	ijlr
产	ijlp
蝉联	ijlm
产量	ijll
觇	ijle
吃尽苦头	ijkt
春节快乐	ijkl
产科	ijke
啴	ijk
产假	ijjx
镡	ijju
婵娟	ijjr
缠结	ijjp
禅机	ijji
镵	ijjd
铲	ijj
初见成效	ijix
蟾蜍	ijiu
产出	ijiu
蝉	ijil
蟾	ijik
潺潺	ijij
蝉	iji
产后	ijhz
忏悔	ijhv
掺和	ijho
长江后浪推前浪	ijhl
楚界汉河	ijhh
馋鬼	ijgv
廛	ijgt
初具规模	ijgm
韂	ijgk
成就感	ijgj
搀扶	ijfu
掺	ijfp
产房	ijfh
搀	ijfd
阐发	ijfa
搀	ijf
巉	ijed
巉	ije
颤抖	ijdz
穿金戴银	ijdy
瀍	ijdt
颤动	ijds
产地	ijdi
超级大国	ijdg
澶	ijdd
